Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Age,Gender
1,AZ-202-7423388,14-09-2012,16-09-2012,Second Class,CU-51612,Amazon Customer,Consumer,60601.0,Seattle,Washington,United States,EU,West,TEC-PH-5966,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,462.45,5,0.1,63.04,63.23,Critical,32,Male
2,AZ-370-7550634,29-01-2014,03-02-2014,Standard Class,CU-32210,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-2149,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",141.55,1,0.2,4.97,21.06,High,68,Female
3,AZ-171-5304572,26-11-2012,29-11-2012,First Class,CU-60369,Amazon Customer,Corporate,,Seattle,Washington,United States,APAC,West,TEC-PH-4947,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,68.71,1,0.0,15.46,17.22,Medium,39,Male
4,AZ-120-3234489,21-10-2014,23-10-2014,First Class,CU-86652,Amazon Customer,Consumer,,Seattle,Washington,United States,APAC,West,TEC-PH-6204,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",1534.65,3,0.1,211.51,186.88,Medium,58,Female
5,AZ-566-8204212,18-08-2013,22-08-2013,First Class,CU-68267,Amazon Customer,Consumer,10001.0,Seattle,Washington,United States,US,West,TEC-PH-2474,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",2999.34,5,0.0,713.62,362.1,Low,43,Female
6,AZ-199-5472471,27-11-2013,02-12-2013,Same Day,CU-33043,Amazon Customer,Consumer,,Seattle,Washington,United States,LATAM,West,TEC-PH-1104,Technology,Smartphones,"Apple iPhone 15 Pro, Full Size",43.83,1,0.2,1.13,10.6,Medium,28,Male
7,AZ-230-5523669,17-07-2015,21-07-2015,Standard Class,CU-61805,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-4772,Technology,Smartphones,"Motorola Edge Plus, Full Size",481.1,2,0.0,113.72,65.52,Low,32,Male
8,AZ-408-5981505,12-10-2013,18-10-2013,Standard Class,CU-82889,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-5879,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,103.86,2,0.0,24.43,15.36,Medium,26,Female
9,AZ-443-2766891,26-01-2014,30-01-2014,Standard Class,CU-77912,Amazon Customer,Consumer,60601.0,Seattle,Washington,United States,US,West,TEC-PH-5039,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,268.93,2,0.1,36.82,35.24,High,23,Male
10,AZ-513-7019877,01-11-2014,03-11-2014,Same Day,CU-32152,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-2219,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",427.26,5,0.0,101.01,58.03,Low,23,Male
11,AZ-485-1103355,25-09-2015,27-09-2015,First Class,CU-77094,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-3801,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",143.52,1,0.0,33.75,21.31,Medium,30,Male
12,AZ-376-2262752,13-12-2015,15-12-2015,Standard Class,CU-64986,Amazon Customer,Consumer,,Seattle,Washington,United States,Africa,West,TEC-PH-1709,Technology,Logistics & Equipment,"Cisco Smart Office Phone, Full Size",573.8,1,0.0,136.22,72.31,Critical,19,Male
13,AZ-559-6664789,19-01-2014,21-01-2014,Same Day,CU-80156,Amazon Customer,Consumer,60601.0,Seattle,Washington,United States,US,West,TEC-PH-9792,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,126.98,5,0.0,29.52,22.22,Medium,62,Male
14,AZ-352-6743066,16-10-2012,19-10-2012,Same Day,CU-11500,Amazon Customer,Corporate,,Seattle,Washington,United States,EU,West,TEC-PH-8652,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",487.64,4,0.2,18.04,63.38,Critical,57,Male
15,AZ-158-7113790,17-05-2013,20-05-2013,Second Class,CU-95918,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-4653,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",813.36,4,0.0,192.96,103.75,Critical,24,Male
16,AZ-781-5721339,28-09-2014,30-09-2014,First Class,CU-63613,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-2258,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,759.49,4,0.0,180.3,95.7,Low,55,Male
17,AZ-882-4275709,09-08-2013,11-08-2013,Same Day,CU-48674,Amazon Customer,Consumer,,Seattle,Washington,United States,EU,West,TEC-PH-6198,Technology,Smartphones,"Samsung Galaxy S24 Ultra, Cordless",46.09,3,0.0,10.66,8.59,High,31,Male
18,AZ-786-6147581,28-08-2014,01-09-2014,Second Class,CU-80660,Amazon Customer,Corporate,,Seattle,Washington,United States,US,West,TEC-PH-2876,Technology,Smartphones,"Nokia XR21 Smart Phone, with Caller ID",18.18,1,0.2,-0.11,10.16,Low,42,Female
19,AZ-662-9242680,04-11-2015,10-11-2015,Same Day,CU-64255,Amazon Customer,Consumer,,Seattle,Washington,United States,US,West,TEC-PH-3691,Technology,Logistics & Equipment,Canon imageCLASS 2200 Advanced Copier,275.09,2,0.0,64.73,40.45,Critical,66,Female
